,city_name,city_cnt
426,양산,10
427,여수,15
428,용인,11
429,울산,36
430,원주,12
431,의정부,24
432,이천,5
433,익산,8
434,인천,112
435,전주,18
436,정읍,1
437,제주,42
438,제천,3
439,진주,11
440,창원,28
441,천안,33
442,청주,64
443,춘천,8
444,충주,10
445,파주,12
446,평택,21
447,포항,9
448,강릉,1074
449,거제,1313
450,경산,1408
451,경주,1239
452,고양,3690
453,광명,1666
454,광주,10361
455,구리,1023
456,구미,2315
457,군산,1311
458,군포,1287
459,기타도시,17551
460,김천,571
461,김해,3784
462,남양주,1784
463,논산,692
464,대구,14609
465,대전,11453
466,도시이외,13190
467,목포,1637
468,범죄대분류,절도범죄
469,범죄중분류,절도
470,부산,21898
471,부천,5682
472,서산,802
473,서울,59371
474,성남,4551
475,수원,6774
476,순천,1344
477,시흥,1874
478,아산,1430
479,안동,746
480,안산,4225
481,안양,2179
482,양산,1274
483,여수,1144
484,용인,2916
485,울산,5777
486,원주,1786
487,의정부,2600
488,이천,734
489,익산,1749
490,인천,9737
491,전주,3795
492,정읍,489
493,제주,4980
494,제천,583
495,진주,2265
496,창원,5519
497,천안,4412
498,청주,4805
499,춘천,1109
500,충주,1092
501,파주,1270
502,평택,2820
503,포항,2532
504,강릉,409
505,거제,468
506,경산,275
507,경주,386
508,고양,543
509,광명,195
510,광주,1186
511,구리,120
512,구미,568
513,군산,262
514,군포,165
515,기타도시,4638
516,김천,145
517,김해,624
518,남양주,310
519,논산,156
520,대구,2955
521,대전,1616
522,도시이외,4082
523,목포,346
524,범죄대분류,폭력범죄
525,범죄중분류,상해
526,부산,5422
527,부천,579
528,서산,207
529,서울,7985
530,성남,852
531,수원,892
532,순천,334
533,시흥,339
534,아산,362
535,안동,236
536,안산,632
537,안양,399
538,양산,286
539,여수,288
540,용인,429
541,울산,1349
542,원주,465
543,의정부,357
544,이천,190
545,익산,201
546,인천,2344
547,전주,467
548,정읍,121
549,제주,878
550,제천,175
551,진주,349
552,창원,1237
553,천안,536
554,청주,821
555,춘천,437
556,충주,257
557,파주,241
558,평택,551
559,포항,614
